Plugin ID,CVE,Name,Severity,CVSS v3.0 Base Score,VPR Score,Host,Port,Description,Solution,See Also
182252,CVE-2021-44228,Apache Log4j Remote Code Execution (Log4Shell),Critical,10.0,9.8,10.20.30.11,8080,"The remote host runs a version of Apache Log4j 2 affected by Log4Shell, allowing unauthenticated remote code execution via crafted JNDI lookups in logged strings.","Upgrade Apache Log4j to 2.17.1 or later, or apply the vendor's mitigation for the affected application.",https://logging.apache.org/log4j/2.x/security.html
182252,CVE-2021-44228,Apache Log4j Remote Code Execution (Log4Shell),Critical,10.0,9.8,10.20.30.12,8080,"The remote host runs a version of Apache Log4j 2 affected by Log4Shell, allowing unauthenticated remote code execution via crafted JNDI lookups in logged strings.","Upgrade Apache Log4j to 2.17.1 or later, or apply the vendor's mitigation for the affected application.",https://logging.apache.org/log4j/2.x/security.html
19506,,Microsoft Windows SMBv1 Enabled,High,7.5,6.1,10.20.40.5,445,"The remote Windows host supports SMBv1, a deprecated protocol vulnerable to several remote code execution flaws and used by ransomware for lateral movement.","Disable SMBv1 via Group Policy or the DisableSMB1 registry setting and enable SMB signing.",
104743,CVE-2016-2183,SSL/TLS Birthday Attack (Sweet32),Medium,5.9,4.4,10.20.50.20,443,"The remote service supports 3DES cipher suites, which are vulnerable to the Sweet32 birthday attack against 64-bit block ciphers.","Disable 3DES and other 64-bit block cipher suites in the TLS configuration.",https://sweet32.info/
125313,CVE-2019-0708,Microsoft RDP Remote Code Execution (BlueKeep),Critical,9.8,9.1,10.20.40.7,3389,"The remote host is affected by BlueKeep, a wormable remote code execution vulnerability in Remote Desktop Services reachable without authentication.","Apply the Microsoft security update for CVE-2019-0708 and restrict RDP exposure with network-level authentication.",https://msrc.microsoft.com/update-guide/vulnerability/CVE-2019-0708
20007,CVE-2014-3566,SSL Version 3 (POODLE),Medium,3.1,3.6,10.20.50.21,443,"The remote service supports SSLv3, which is vulnerable to the POODLE padding-oracle attack.","Disable SSLv3 and use TLS 1.2 or later.",https://www.openssl.org/~bodo/ssl-poodle.pdf
153466,CVE-2022-22965,Spring Framework RCE (Spring4Shell),High,8.1,8.3,10.20.30.15,8443,"The remote application uses a version of Spring Framework affected by Spring4Shell, allowing remote code execution via data binding on JDK 9+.","Upgrade Spring Framework to 5.3.18 / 5.2.20 or later and redeploy the application.",https://spring.io/security/cve-2022-22965
51192,,SSL Certificate Cannot Be Trusted,Low,2.6,1.9,10.20.60.9,443,"The SSL certificate for this service cannot be trusted because the certificate chain could not be validated to a known CA.","Install a certificate signed by a trusted certificate authority.",
90317,,SSH Weak Algorithms Supported,Low,3.7,2.0,10.20.40.30,22,"The remote SSH server is configured to allow weak key exchange or MAC algorithms.","Disable weak SSH algorithms in sshd_config and restart the service.",
158794,CVE-2021-34527,Windows Print Spooler RCE (PrintNightmare),High,8.8,8.0,10.20.40.8,135,"The remote Windows host is affected by PrintNightmare, a Print Spooler remote code execution vulnerability that can lead to domain compromise.","Apply the Microsoft security update for CVE-2021-34527 and restrict Point and Print via Group Policy.",https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-34527
